indi_name_cn,indi_name_en
高等教育人口的移民率（占高等教育人口的比例）,/indicator/SM.EMI.TERT.ZS?view=chart
indi_name_cn,indi_name_en
0-14岁的人口（占总人口的百分比）,/indicator/SM.EMI.TERT.ZS?view=chart
15-64岁的人口（占总人口的百分比）,/indicator/SM.EMI.TERT.ZS?view=chart
65岁和65岁以上的人口（占总人口的百分比）,/indicator/SM.EMI.TERT.ZS?view=chart
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,/indicator/SM.EMI.TERT.ZS?view=chart
Adults (ages 15+) newly infected with HIV,/indicator/SM.EMI.TERT.ZS?view=chart
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),/indicator/SM.EMI.TERT.ZS?view=chart
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",/indicator/SM.EMI.TERT.ZS?view=chart
"Cause of death, by injury (% of total)",/indicator/SM.EMI.TERT.ZS?view=chart
"Cause of death, by non-communicable diseases (% of total)",/indicator/SM.EMI.TERT.ZS?view=chart
Children (ages 0-14) newly infected with HIV,/indicator/SM.EMI.TERT.ZS?view=chart
Completeness of death registration with cause-of-death information (%),/indicator/SM.EMI.TERT.ZS?view=chart
"Contraceptive prevalence, modern methods (% of women ages 15-49)",/indicator/SM.EMI.TERT.ZS?view=chart
DPT 免疫接种率（占 12 - 23 个月年龄组的百分比）,/indicator/SM.EMI.TERT.ZS?view=chart
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),/indicator/SM.EMI.TERT.ZS?view=chart
Depth of the food deficit (kilocalories per person per day),/indicator/SM.EMI.TERT.ZS?view=chart
Diabetes prevalence (% of population ages 20 to 79),/indicator/SM.EMI.TERT.ZS?view=chart
Diarrhea treatment (% of children under 5 who received ORS packet),/indicator/SM.EMI.TERT.ZS?view=chart
Female genital mutilation prevalence (%),/indicator/SM.EMI.TERT.ZS?view=chart
Incidence of HIV (% of uninfected population ages 15-49),/indicator/SM.EMI.TERT.ZS?view=chart
"Incidence of malaria (per 1,000 population at risk)",/indicator/SM.EMI.TERT.ZS?view=chart
"Mortality caused by road traffic injury (per 100,000 people)",/indicator/SM.EMI.TERT.ZS?view=chart
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",/indicator/SM.EMI.TERT.ZS?view=chart
People practicing open defecation (% of population),/indicator/SM.EMI.TERT.ZS?view=chart
"People practicing open defecation, rural (% of rural population)",/indicator/SM.EMI.TERT.ZS?view=chart
"People practicing open defecation, urban (% of urban population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 0-4, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 0-4, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 10-14, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 10-14, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 15-19, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 15-19, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 20-24, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 20-24, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 25-29, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 25-29, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 30-34, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 30-34, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 35-39, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 35-39, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 40-44, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 40-44, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 45-49, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 45-49, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 5-9, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 5-9, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 50-54, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 50-54, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 50-64, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 50-64, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 55-59, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 55-59, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 65-69, female (% of female population)",/indicator/SM.EMI.TERT.ZS?view=chart
"Population ages 65-69, male (% of male population)",/indicator/SM.EMI.TERT.ZS?view=chart
